20230309	21:09:16	ab9ddbc6-56b2-4805-bc10-03ca3666866c	OPTIONS	http://localhost:3000	/auth
20230309	21:09:16	193359c2-48bf-418b-8a48-bf5c384eb238	POST	http://localhost:3000	/auth
20230309	21:16:22	5faf46a5-848d-440e-9e7c-4395e18707ad	OPTIONS	http://localhost:3000	/auth
20230309	21:16:22	81feead1-5fb3-4b3a-9769-d5eac75bace3	POST	http://localhost:3000	/auth
20230309	21:16:36	565cb1b2-1b19-4b83-94a5-5f7b6079069e	GET	http://localhost:3000	/refresh
20230309	21:16:36	5e8b3f13-477a-4c38-bc55-c73cababb731	GET	http://localhost:3000	/refresh
20230309	21:16:55	4197fa3d-fc72-4259-baed-d6e6d56caad7	GET	http://localhost:3000	/logout
20230309	21:17:04	8e1c6721-0197-4fd1-aa2e-5548cff30189	OPTIONS	http://localhost:3000	/auth
20230309	21:17:04	91cc1f7d-fc63-432d-a83f-675db9daf193	POST	http://localhost:3000	/auth
20230309	21:17:37	e11787a6-2361-4063-ace6-08b1e9415883	OPTIONS	http://localhost:3000	/register
20230309	21:17:37	d7a09dc0-9aac-47fe-9287-a2a1c65f0a12	POST	http://localhost:3000	/register
20230309	21:19:34	68eec1ec-6297-4553-a022-8165ab99e8a7	OPTIONS	http://localhost:3000	/auth
20230309	21:19:34	7d66e02e-d8d9-4746-8d78-d910c1b28b0e	POST	http://localhost:3000	/auth
20230309	21:20:18	f68fb9c4-a62c-4fdd-9c1a-924a79a1fd53	OPTIONS	http://localhost:3000	/users
20230309	21:20:18	9861e85f-c653-41ea-80a8-c8f1e528869a	GET	http://localhost:3000	/users
20230309	21:20:28	fa624752-bc8d-4d74-ac2a-d080c4a620b4	OPTIONS	http://localhost:3000	/auth
20230309	21:20:28	d2e3ab39-c997-4a2a-a5af-f52cf3cde20f	POST	http://localhost:3000	/auth
20230309	21:20:28	2fe252eb-e120-4e90-9e32-3b24ad85f580	OPTIONS	http://localhost:3000	/users
20230309	21:20:28	069d3588-0f78-4092-9e7c-a5db9640d53c	GET	http://localhost:3000	/users
20230309	21:20:43	885472ee-4dbb-43aa-bb6f-6ff1aa453b78	OPTIONS	http://localhost:3000	/auth
20230309	21:20:43	f9e10ae0-9e10-4356-86b3-f26fed21404a	POST	http://localhost:3000	/auth
20230309	21:21:15	5ca875c6-4d76-4080-8269-a047c59346a5	OPTIONS	http://localhost:3000	/auth
20230309	21:21:15	9df08806-adc1-4e90-b879-bdc8682a3690	POST	http://localhost:3000	/auth
20230309	21:24:16	b5061f77-bf63-4980-8ebf-c2fc8e04adac	OPTIONS	http://localhost:3000	/auth
20230309	21:24:16	e76c7c16-f581-4bb7-8302-9009ca0fa5e1	POST	http://localhost:3000	/auth
20230309	21:24:16	da075efe-175d-43e1-9349-5fe8fab6a0a4	OPTIONS	http://localhost:3000	/users
20230309	21:24:42	d7b19a35-9c43-4929-81d0-64274b9c7dbe	OPTIONS	http://localhost:3000	/auth
20230309	21:24:42	9c515181-91a4-4c70-97b3-fde9e57ba510	POST	http://localhost:3000	/auth
20230309	21:24:59	a0906779-8ab4-43db-94b6-b6a1d5b5668a	GET	http://localhost:3000	/refresh
20230309	21:24:59	7655b965-e50d-497b-8b16-7aa2b2f50cbc	GET	http://localhost:3000	/refresh
20230309	21:25:03	db102c58-0e99-4b3b-aae2-becc6132584a	GET	http://localhost:3000	/logout
20230309	21:25:15	28121d65-57ad-4174-a754-4fdf25a4b11e	OPTIONS	http://localhost:3000	/auth
20230309	21:25:15	4f428493-2d30-4a0d-a6c3-93e2585a6bf5	POST	http://localhost:3000	/auth
20230309	21:27:32	0a59e6ab-e2eb-48c5-a8d4-02f038cadc9e	OPTIONS	http://localhost:3000	/auth
20230309	21:27:33	df44e178-13ad-4ac0-9adc-b2a405082e12	POST	http://localhost:3000	/auth
20230309	21:27:34	4566a5f4-0a5e-45a0-ad29-6f1188e83775	OPTIONS	http://localhost:3000	/users
20230309	21:27:34	60a97638-b963-4557-a441-863bbba45e2f	GET	http://localhost:3000	/users
20230309	21:38:33	3477c5cf-412e-4270-8063-1783602be0ff	GET	http://localhost:3000	/refresh
20230309	21:38:33	9275a71e-6e65-4582-9333-b82fdb108b2b	GET	http://localhost:3000	/refresh
20230309	21:38:54	14877dd6-e7f8-4741-867b-51dfacc6c034	GET	http://localhost:3000	/logout
20230309	21:39:03	74d0f234-5cbe-4c2f-a18b-3fae76f835cf	OPTIONS	http://localhost:3000	/auth
20230309	21:39:03	69b83907-5cac-47ff-85cf-27626ce15106	POST	http://localhost:3000	/auth
